scope,region,year,count,withinCurrentSummerWindow,outsideCurrentSummerWindow,julyAugustCount,withinWindowCalendarDays,outsideWindowCalendarDays,withinPerCalendarDay,outsidePerCalendarDay,comparisonStatus
A,강서구|강동동,2023,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저1동,all,14,1,13,1,290,1537,0.0034482758620689655,0.008458035133376708,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저1동,2020,3,0,3,0,58,308,0.0,0.00974025974025974,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저1동,2021,5,0,5,0,58,307,0.0,0.016286644951140065,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저1동,2023,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저1동,2024,3,1,2,1,58,308,0.017241379310344827,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저2동,all,7,2,5,2,290,1537,0.006896551724137931,0.0032530904359141183,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저2동,2021,3,1,2,1,58,307,0.017241379310344827,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저2동,2022,2,1,1,1,58,307,0.017241379310344827,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대저2동,2023,2,0,2,0,58,307,0.0,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대항동,all,16,1,15,1,290,1537,0.0034482758620689655,0.009759271307742356,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대항동,2020,7,0,7,0,58,308,0.0,0.022727272727272728,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대항동,2022,1,1,0,1,58,307,0.017241379310344827,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대항동,2023,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|대항동,2024,5,0,5,0,58,308,0.0,0.016233766233766232,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|동선동,all,1,0,1,1,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|동선동,2023,1,0,1,1,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,all,14,4,10,4,290,1537,0.013793103448275862,0.006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,2020,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,2021,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,2022,6,1,5,1,58,307,0.017241379310344827,0.016286644951140065,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,2023,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|명지동,2024,5,3,2,3,58,308,0.05172413793103448,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|범방동,all,3,2,1,2,290,1537,0.006896551724137931,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|범방동,2020,1,1,0,1,58,308,0.017241379310344827,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|범방동,2024,2,1,1,1,58,308,0.017241379310344827,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|봉림동,all,14,0,14,1,290,1537,0.0,0.009108653220559532,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|봉림동,2022,11,0,11,0,58,307,0.0,0.035830618892508145,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|봉림동,2024,3,0,3,1,58,308,0.0,0.00974025974025974,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|생곡동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|생곡동,2021,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,all,9,0,9,0,290,1537,0.0,0.005855562784645413,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,2020,2,0,2,0,58,308,0.0,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,2021,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,2022,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,2023,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|성북동,2024,2,0,2,0,58,308,0.0,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|송정동,all,6,2,4,2,290,1537,0.006896551724137931,0.002602472348731295,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|송정동,2020,3,2,1,2,58,308,0.034482758620689655,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|송정동,2023,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|식만동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|식만동,2022,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|신호동,all,11,6,5,6,290,1537,0.020689655172413793,0.0032530904359141183,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|신호동,2020,5,2,3,2,58,308,0.034482758620689655,0.00974025974025974,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|신호동,2021,2,1,1,1,58,307,0.017241379310344827,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|신호동,2022,2,1,1,1,58,307,0.017241379310344827,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|신호동,2023,2,2,0,2,58,307,0.034482758620689655,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|천성동,all,9,2,7,2,290,1537,0.006896551724137931,0.004554326610279766,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|천성동,2021,2,0,2,0,58,307,0.0,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|천성동,2022,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|천성동,2023,5,2,3,2,58,307,0.034482758620689655,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|천성동,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|화전동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,강서구|화전동,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|구서동,all,7,2,5,2,290,1537,0.006896551724137931,0.0032530904359141183,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|구서동,2020,3,2,1,2,58,308,0.034482758620689655,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|구서동,2021,2,0,2,0,58,307,0.0,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|구서동,2022,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|구서동,2023,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|남산동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|남산동,2020,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|두구동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|두구동,2022,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|부곡동,all,15,2,13,2,290,1537,0.006896551724137931,0.008458035133376708,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|부곡동,2023,13,0,13,0,58,307,0.0,0.04234527687296417,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|부곡동,2024,2,2,0,2,58,308,0.034482758620689655,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|선동,all,1,1,0,1,290,1537,0.0034482758620689655,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|선동,2021,1,1,0,1,58,307,0.017241379310344827,0.0,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|오륜동,all,2,0,2,0,290,1537,0.0,0.0013012361743656475,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|오륜동,2023,1,0,1,0,58,307,0.0,0.003257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|오륜동,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|장전동,all,2,1,1,1,290,1537,0.0034482758620689655,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|장전동,2024,2,1,1,1,58,308,0.017241379310344827,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|회동동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,금정구|회동동,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,all,71,19,52,20,290,1537,0.06551724137931035,0.03383214053350683,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,2020,12,0,12,1,58,308,0.0,0.03896103896103896,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,2021,13,8,5,8,58,307,0.13793103448275862,0.016286644951140065,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,2022,13,6,7,6,58,307,0.10344827586206896,0.02280130293159609,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,2023,24,2,22,2,58,307,0.034482758620689655,0.07166123778501629,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|기장읍,2024,9,3,6,3,58,308,0.05172413793103448,0.01948051948051948,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광면,all,33,2,31,2,290,1537,0.006896551724137931,0.020169160702667534,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광면,2020,13,2,11,2,58,308,0.034482758620689655,0.03571428571428571,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광면,2021,11,0,11,0,58,307,0.0,0.035830618892508145,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광면,2022,9,0,9,0,58,307,0.0,0.029315960912052116,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광읍,all,27,9,18,9,290,1537,0.03103448275862069,0.011711125569290826,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광읍,2022,14,7,7,7,58,307,0.1206896551724138,0.02280130293159609,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광읍,2023,5,1,4,1,58,307,0.017241379310344827,0.013029315960912053,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|일광읍,2024,8,1,7,1,58,308,0.017241379310344827,0.022727272727272728,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,all,26,4,22,4,290,1537,0.013793103448275862,0.014313597918022121,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,2020,5,0,5,0,58,308,0.0,0.016233766233766232,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,2021,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,2022,5,2,3,2,58,307,0.034482758620689655,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,2023,12,2,10,2,58,307,0.034482758620689655,0.03257328990228013,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|장안읍,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|정관읍,all,3,1,2,1,290,1537,0.0034482758620689655,0.0013012361743656475,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|정관읍,2020,3,1,2,1,58,308,0.017241379310344827,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|철마면,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,기장군|철마면,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|감만동,all,2,0,2,0,290,1537,0.0,0.0013012361743656475,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|감만동,2024,2,0,2,0,58,308,0.0,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|대연동,all,10,0,10,0,290,1537,0.0,0.006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|대연동,2021,2,0,2,0,58,307,0.0,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|대연동,2022,2,0,2,0,58,307,0.0,0.006514657980456026,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|대연동,2023,4,0,4,0,58,307,0.0,0.013029315960912053,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|대연동,2024,2,0,2,0,58,308,0.0,0.006493506493506494,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|문현동,all,3,0,3,0,290,1537,0.0,0.001951854261548471,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|문현동,2023,3,0,3,0,58,307,0.0,0.009771986970684038,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|용당동,all,1,0,1,0,290,1537,0.0,0.0006506180871828237,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|용당동,2024,1,0,1,0,58,308,0.0,0.003246753246753247,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
A,남구|용호동,all,45,18,27,18,290,1537,0.06206896551724138,0.01756668835393624,2026 자원봉사 모집공고상 활동기간(7/4~8/30)을 과거 달력에 대입; 전체 수상구조대 운영기간·당시 운영실적·미대응 건수 아님
