district,rawDong,type,subtype,countC,reason
기장군,장안읍,구급,심정지,84,결측 제외 전후 변화 방향 민감
남구,감만동,구급,심정지,84,결측 제외 전후 변화 방향 민감
기장군,정관읍,구급,심정지,82,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
수영구,수영동,구급,심정지,82,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,명지동,구급,심정지,81,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
수영구,남천동,구급,심정지,81,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,명륜동,구급,심정지,79,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,연지동,구급,심정지,79,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,암남동,구급,심정지,75,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,송정동,구급,심정지,71,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,덕포동,구급,심정지,70,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,수안동,구급,심정지,66,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,영주동,구급,심정지,64,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,철마면,구급,심정지,63,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,우암동,구급,심정지,63,결측 제외 전후 변화 방향 민감
강서구,대저1동,구급,심정지,59,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,청룡동,구급,심정지,50,결측 제외 전후 변화 방향 민감
동래구,낙민동,구급,심정지,48,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,아미동2가,구급,심정지,48,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,일광면,구급,심정지,46,5년 반복 조건 미충족
서구,서대신동3가,구급,심정지,44,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,대저2동,구급,심정지,43,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,삼락동,구급,심정지,42,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,신호동,구급,심정지,41,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,초장동,구급,심정지,40,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,신선동2가,구급,심정지,40,결측 제외 전후 변화 방향 민감
서구,동대신동2가,구급,심정지,38,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,동대신동3가,구급,심정지,35,결측 제외 전후 변화 방향 민감
동래구,복천동,구급,심정지,34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,용당동,구급,심정지,32,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,대청동4가,구급,심정지,32,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,구평동,구급,심정지,31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,서대신동2가,구급,심정지,31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,보수동1가,구급,심정지,31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,강동동,구급,심정지,30,결측 제외 전후 변화 방향 민감
금정구,금사동,구급,심정지,30,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,영선동4가,구급,심정지,26,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,남항동1가,구급,심정지,25,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,일광읍,구급,심정지,23,5년 반복 조건 미충족
강서구,지사동,구급,심정지,22,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,칠산동,구급,심정지,22,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,송정동,구급,심정지,21,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,범전동,구급,심정지,21,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,회동동,구급,심정지,20,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,동광동5가,구급,심정지,19,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,서대신동1가,구급,심정지,18,5년 반복 조건 미충족
영도구,봉래동2가,구급,심정지,17,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,봉래동4가,구급,심정지,17,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,중앙동4가,구급,심정지,17,결측 제외 전후 변화 방향 민감
서구,부민동3가,구급,심정지,16,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,충무동1가,구급,심정지,16,결측 제외 전후 변화 방향 민감
영도구,남항동3가,구급,심정지,16,결측 제외 전후 변화 방향 민감
영도구,봉래동5가,구급,심정지,15,5년 반복 조건 미충족
금정구,두구동,구급,심정지,14,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,신선동3가,구급,심정지,14,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,부평동1가,구급,심정지,14,결측 제외 전후 변화 방향 민감
서구,동대신동1가,구급,심정지,13,결측 제외 전후 변화 방향 민감
금정구,노포동,구급,심정지,12,5년 반복 조건 미충족
서구,토성동5가,구급,심정지,12,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,신선동1가,구급,심정지,12,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,봉래동3가,구급,심정지,11,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,영선동2가,구급,심정지,11,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,보수동2가,구급,심정지,11,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,충무동2가,구급,심정지,10,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,남포동5가,구급,심정지,10,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,녹산동,구급,심정지,9,5년 반복 조건 미충족
강서구,화전동,구급,심정지,9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,금성동,구급,심정지,9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,충무동3가,구급,심정지,9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,보수동3가,구급,심정지,9,5년 반복 조건 미충족
강서구,봉림동,구급,심정지,8,5년 반복 조건 미충족
서구,토성동1가,구급,심정지,8,5년 반복 조건 미충족
영도구,대교동2가,구급,심정지,8,결측 제외 전후 변화 방향 민감
영도구,대평동1가,구급,심정지,8,5년 반복 조건 미충족
영도구,영선동3가,구급,심정지,8,5년 반복 조건 미충족
중구,남포동6가,구급,심정지,8,5년 반복 조건 미충족
중구,부평동4가,구급,심정지,8,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,석대동,구급,심정지,8,5년 반복 조건 미충족
강서구,성북동,구급,심정지,7,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,남항동2가,구급,심정지,7,5년 반복 조건 미충족
영도구,대교동1가,구급,심정지,7,5년 반복 조건 미충족
영도구,대평동2가,구급,심정지,7,5년 반복 조건 미충족
영도구,영선동1가,구급,심정지,7,5년 반복 조건 미충족
서구,토성동2가,구급,심정지,6,5년 반복 조건 미충족
중구,동광동3가,구급,심정지,6,5년 반복 조건 미충족
중구,부평동3가,구급,심정지,6,결측 제외 전후 변화 방향 민감
강서구,대항동,구급,심정지,5,5년 반복 조건 미충족
강서구,동선동,구급,심정지,5,5년 반복 조건 미충족
강서구,생곡동,구급,심정지,5,5년 반복 조건 미충족
강서구,식만동,구급,심정지,5,5년 반복 조건 미충족
서구,부용동2가,구급,심정지,5,5년 반복 조건 미충족
영도구,봉래동1가,구급,심정지,5,5년 반복 조건 미충족
중구,부평동2가,구급,심정지,5,5년 반복 조건 미충족
강서구,눌차동,구급,심정지,4,5년 반복 조건 미충족
강서구,죽동동,구급,심정지,4,결측 제외 전후 변화 방향 민감
서구,부민동1가,구급,심정지,4,5년 반복 조건 미충족
중구,남포동4가,구급,심정지,4,5년 반복 조건 미충족
금정구,선동,구급,심정지,3,5년 반복 조건 미충족
서구,아미동1가,구급,심정지,3,5년 반복 조건 미충족
서구,토성동3가,구급,심정지,3,5년 반복 조건 미충족
중구,대창동1가,구급,심정지,3,5년 반복 조건 미충족
중구,대청동2가,구급,심정지,3,5년 반복 조건 미충족
중구,동광동1가,구급,심정지,3,5년 반복 조건 미충족
중구,중앙동5가,구급,심정지,3,5년 반복 조건 미충족
강서구,구랑동,구급,심정지,2,5년 반복 조건 미충족
강서구,범방동,구급,심정지,2,5년 반복 조건 미충족
강서구,죽림동,구급,심정지,2,5년 반복 조건 미충족
강서구,천성동,구급,심정지,2,결측 제외 전후 변화 방향 민감
서구,부용동1가,구급,심정지,2,5년 반복 조건 미충족
서구,토성동4가,구급,심정지,2,5년 반복 조건 미충족
중구,남포동1가,구급,심정지,2,5년 반복 조건 미충족
중구,대청동1가,구급,심정지,2,5년 반복 조건 미충족
중구,신창동1가,구급,심정지,2,5년 반복 조건 미충족
중구,중앙동2가,구급,심정지,2,5년 반복 조건 미충족
금정구,오륜동,구급,심정지,1,5년 반복 조건 미충족
서구,부민동2가,구급,심정지,1,5년 반복 조건 미충족
중구,남포동2가,구급,심정지,1,5년 반복 조건 미충족
중구,대청동3가,구급,심정지,1,5년 반복 조건 미충족
중구,신창동2가,구급,심정지,1,5년 반복 조건 미충족
중구,신창동4가,구급,심정지,1,5년 반복 조건 미충족
중구,중앙동1가,구급,심정지,1,5년 반복 조건 미충족
중구,중앙동6가,구급,심정지,1,5년 반복 조건 미충족
중구,창선동2가,구급,심정지,1,5년 반복 조건 미충족
기장군,정관면,구급,심정지,0,5년 반복 조건 미충족
중구,광복동2가,구급,심정지,0,5년 반복 조건 미충족
중구,남포동3가,구급,심정지,0,5년 반복 조건 미충족
중구,동광동2가,구급,심정지,0,5년 반복 조건 미충족
중구,동광동4가,구급,심정지,0,5년 반복 조건 미충족
연제구,연산동,화재,일반화재(주택),77,결측 제외 전후 변화 방향 민감
수영구,광안동,화재,일반화재(주택),52,결측 제외 전후 변화 방향 민감
남구,대연동,화재,일반화재(주택),48,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,구포동,화재,일반화재(주택),46,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,대저2동,화재,일반화재(주택),41,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,반송동,화재,일반화재(주택),40,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,대저1동,화재,일반화재(주택),38,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,장안읍,화재,일반화재(주택),38,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,반여동,화재,일반화재(주택),38,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,괴정동,화재,일반화재(주택),35,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,서동,화재,일반화재(주택),34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,부전동,화재,일반화재(주택),34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,감전동,화재,일반화재(주택),34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,괘법동,화재,일반화재(주택),34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,우동,화재,일반화재(주택),34,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,장림동,화재,일반화재(주택),33,결측 제외 전후 변화 방향 민감
수영구,망미동,화재,일반화재(주택),33,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,수정동,화재,일반화재(주택),32,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,안락동,화재,일반화재(주택),32,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,문현동,화재,일반화재(주택),31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,범일동,화재,일반화재(주택),31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동구,초량동,화재,일반화재(주택),31,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,명지동,화재,일반화재(주택),30,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,장전동,화재,일반화재(주택),30,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,주례동,화재,일반화재(주택),30,결측 제외 전후 변화 방향 민감
강서구,강동동,화재,일반화재(주택),29,결측 제외 전후 변화 방향 민감
금정구,부곡동,화재,일반화재(주택),29,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,개금동,화재,일반화재(주택),29,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,하단동,화재,일반화재(주택),29,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,철마면,화재,일반화재(주택),28,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,덕천동,화재,일반화재(주택),28,결측 제외 전후 변화 방향 민감
해운대구,중동,화재,일반화재(주택),28,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,신평동,화재,일반화재(주택),27,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,당감동,화재,일반화재(주택),26,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,범천동,화재,일반화재(주택),26,결측 제외 전후 변화 방향 민감
부산진구,전포동,화재,일반화재(주택),26,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,남산동,화재,일반화재(주택),24,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,용호동,화재,일반화재(주택),24,결측 제외 전후 변화 방향 민감
수영구,민락동,화재,일반화재(주택),24,결측 제외 전후 변화 방향 민감
부산진구,가야동,화재,일반화재(주택),23,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,사직동,화재,일반화재(주택),22,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,재송동,화재,일반화재(주택),22,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,명장동,화재,일반화재(주택),21,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,암남동,화재,일반화재(주택),21,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,동삼동,화재,일반화재(주택),21,5년 반복 조건 미충족
부산진구,양정동,화재,일반화재(주택),20,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,감천동,화재,일반화재(주택),20,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,초읍동,화재,일반화재(주택),19,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,덕포동,화재,일반화재(주택),19,5년 반복 조건 미충족
사상구,모라동,화재,일반화재(주택),19,5년 반복 조건 미충족
사하구,다대동,화재,일반화재(주택),19,5년 반복 조건 미충족
서구,남부민동,화재,일반화재(주택),19,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
영도구,청학동,화재,일반화재(주택),19,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사하구,당리동,화재,일반화재(주택),18,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
연제구,거제동,화재,일반화재(주택),18,결측 제외 전후 변화 방향 민감
금정구,구서동,화재,일반화재(주택),17,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
부산진구,부암동,화재,일반화재(주택),17,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,만덕동,화재,일반화재(주택),17,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,엄궁동,화재,일반화재(주택),17,5년 반복 조건 미충족
기장군,일광면,화재,일반화재(주택),16,5년 반복 조건 미충족
남구,우암동,화재,일반화재(주택),16,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
동래구,명륜동,화재,일반화재(주택),16,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
사상구,학장동,화재,일반화재(주택),16,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
수영구,남천동,화재,일반화재(주택),16,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,화명동,화재,일반화재(주택),15,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
기장군,정관읍,화재,일반화재(주택),14,결측 제외 전후 변화 방향 민감
수영구,수영동,화재,일반화재(주택),14,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,영주동,화재,일반화재(주택),14,5년 반복 조건 미충족
동구,좌천동,화재,일반화재(주택),13,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
강서구,송정동,화재,일반화재(주택),12,5년 반복 조건 미충족
사상구,삼락동,화재,일반화재(주택),12,5년 반복 조건 미충족
사하구,구평동,화재,일반화재(주택),12,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,아미동2가,화재,일반화재(주택),12,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,초장동,화재,일반화재(주택),12,5년 반복 조건 미충족
중구,보수동1가,화재,일반화재(주택),12,5년 반복 조건 미충족
부산진구,연지동,화재,일반화재(주택),11,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
북구,금곡동,화재,일반화재(주택),11,결측 제외 전후 변화 방향 민감
영도구,영선동4가,화재,일반화재(주택),11,결측 제외 전후 변화 방향 민감
서구,동대신동2가,화재,일반화재(주택),10,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
중구,부평동2가,화재,일반화재(주택),10,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
해운대구,송정동,화재,일반화재(주택),10,5년 반복 조건 미충족
강서구,봉림동,화재,일반화재(주택),9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,금사동,화재,일반화재(주택),9,5년 반복 조건 미충족
금정구,금성동,화재,일반화재(주택),9,결측 제외 전후 변화 방향 민감
금정구,선동,화재,일반화재(주택),9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
금정구,청룡동,화재,일반화재(주택),9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,감만동,화재,일반화재(주택),9,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
남구,용당동,화재,일반화재(주택),9,5년 반복 조건 미충족
해운대구,좌동,화재,일반화재(주택),9,5년 반복 조건 미충족
동래구,수안동,화재,일반화재(주택),8,동일 유형 2개 설명 사례 선정 범위 밖; 위험도 또는 정책 탈락 아님
서구,동대신동3가,화재,일반화재(주택),8,5년 반복 조건 미충족
금정구,두구동,화재,일반화재(주택),7,5년 반복 조건 미충족
서구,서대신동3가,화재,일반화재(주택),7,결측 제외 전후 변화 방향 민감
영도구,남항동1가,화재,일반화재(주택),7,5년 반복 조건 미충족
강서구,녹산동,화재,일반화재(주택),6,5년 반복 조건 미충족
강서구,지사동,화재,일반화재(주택),6,5년 반복 조건 미충족
서구,충무동1가,화재,일반화재(주택),6,5년 반복 조건 미충족
강서구,식만동,화재,일반화재(주택),5,5년 반복 조건 미충족
강서구,신호동,화재,일반화재(주택),5,5년 반복 조건 미충족
강서구,죽동동,화재,일반화재(주택),5,5년 반복 조건 미충족
