dataYear,districtCode,district,category,designatedSiteRecords,designatedLawDongCount,zeroMeaning
2020,26110,중구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26170,동구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26200,영도구,보행노인,5,4,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26230,부산진구,보행노인,7,3,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26230,부산진구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26260,동래구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26260,동래구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26290,남구,보행노인,3,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26320,북구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26320,북구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26350,해운대구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26380,사하구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26410,금정구,보행노인,5,2,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26410,금정구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26440,강서구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26470,연제구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26500,수영구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26500,수영구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26530,사상구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2021,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2021,26710,기장군,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26110,중구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26110,중구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26140,서구,보행노인,3,2,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26140,서구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26170,동구,보행노인,7,3,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26170,동구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26200,영도구,보행노인,4,4,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26230,부산진구,보행노인,6,4,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26230,부산진구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26260,동래구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26260,동래구,보행어린이,2,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26290,남구,보행노인,5,2,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26320,북구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26320,북구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26350,해운대구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26380,사하구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26410,금정구,보행노인,5,3,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26410,금정구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26440,강서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26470,연제구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26500,수영구,보행노인,4,2,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26500,수영구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26530,사상구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2022,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2022,26710,기장군,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26110,중구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26110,중구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26140,서구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26140,서구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26170,동구,보행노인,5,3,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26170,동구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26200,영도구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26230,부산진구,보행노인,6,3,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26230,부산진구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26260,동래구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26260,동래구,보행어린이,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26290,남구,보행노인,7,3,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26320,북구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26320,북구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26350,해운대구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26380,사하구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26410,금정구,보행노인,3,2,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26410,금정구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26440,강서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26470,연제구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26500,수영구,보행노인,4,3,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26500,수영구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26530,사상구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2023,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2023,26710,기장군,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26110,중구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26110,중구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26140,서구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26140,서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26170,동구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26170,동구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26200,영도구,보행노인,4,4,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26230,부산진구,보행노인,8,4,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26230,부산진구,보행어린이,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26260,동래구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26260,동래구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26290,남구,보행노인,7,3,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26320,북구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26320,북구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26350,해운대구,보행노인,2,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26380,사하구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26410,금정구,보행노인,5,3,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26410,금정구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26440,강서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26470,연제구,보행노인,2,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26500,수영구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26500,수영구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26530,사상구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2024,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2024,26710,기장군,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26110,중구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26110,중구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26140,서구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26140,서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26170,동구,보행노인,3,3,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26170,동구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26200,영도구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26200,영도구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26230,부산진구,보행노인,10,3,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26230,부산진구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26260,동래구,보행노인,3,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26260,동래구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26290,남구,보행노인,6,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26290,남구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26320,북구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26320,북구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26350,해운대구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26350,해운대구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26380,사하구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26380,사하구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26410,금정구,보행노인,7,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26410,금정구,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26440,강서구,보행노인,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26440,강서구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26470,연제구,보행노인,2,2,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26470,연제구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26500,수영구,보행노인,4,3,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26500,수영구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26530,사상구,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26530,사상구,보행어린이,0,0,목록에 지정지점 없음; 사고0건 뜻하지 않음
2025,26710,기장군,보행노인,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
2025,26710,기장군,보행어린이,1,1,공식 지정지점 기록 수; 사고건수 합계 아님
