district,rawDong,type,subtype,count,yearCounts,minimumAnnual,validAnnual,topMonths,topSeasons,annualMonthExact,annualSeasonExact,leaveOneMonthExact,leaveOneSeasonExact,leaveOneSeasonOverlap
강서구,범방동,화재,일반화재(주택),3,"[1, 1, 1, 0, 0]",0,3,[4],['봄'],2,2,5,3,3
강서구,범방동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,범방동,구조,수난사고,1,"[0, 0, 0, 0, 1]",0,1,[5],['봄'],1,1,4,4,4
강서구,범방동,구급,교통사고,46,"[13, 12, 10, 6, 5]",5,5,[12],['겨울'],1,3,3,5,5
강서구,봉림동,구급,심정지,8,"[0, 2, 1, 2, 3]",0,4,[3],['겨울'],1,2,4,4,4
강서구,봉림동,화재,일반화재(주택),9,"[2, 1, 1, 1, 4]",1,5,[6],['겨울'],1,2,4,3,3
강서구,봉림동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,봉림동,구조,수난사고,2,"[0, 0, 1, 0, 1]",0,2,[4],"['봄', '여름']",1,0,4,3,5
강서구,봉림동,구급,교통사고,32,"[7, 4, 7, 9, 5]",4,5,[6],['가을'],1,2,4,5,5
강서구,생곡동,구급,심정지,5,"[0, 1, 2, 2, 0]",0,3,[2],['겨울'],1,2,4,4,4
강서구,생곡동,화재,일반화재(주택),2,"[2, 0, 0, 0, 0]",0,1,[11],['가을'],1,1,4,4,4
강서구,생곡동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,생곡동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,생곡동,구급,교통사고,22,"[4, 7, 4, 2, 5]",2,5,[4],['봄'],2,1,3,5,5
강서구,성북동,구급,심정지,7,"[1, 1, 2, 1, 2]",1,5,"[1, 5]",['겨울'],1,4,2,5,5
강서구,성북동,화재,일반화재(주택),1,"[0, 0, 1, 0, 0]",0,1,[5],['봄'],1,1,4,4,4
강서구,성북동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,성북동,구조,수난사고,4,"[1, 1, 1, 1, 0]",0,4,[3],['겨울'],2,2,3,3,3
강서구,성북동,구급,교통사고,32,"[9, 5, 7, 7, 4]",4,5,[9],['가을'],1,3,5,4,4
강서구,송정동,구급,심정지,21,"[3, 3, 5, 4, 6]",3,5,"[9, 11]",['가을'],1,3,3,3,3
강서구,송정동,화재,일반화재(주택),12,"[5, 2, 3, 2, 0]",0,4,[3],['봄'],0,1,3,4,4
강서구,송정동,구조,산악사고,1,"[0, 0, 0, 1, 0]",0,1,[8],['여름'],1,1,4,4,4
강서구,송정동,구조,수난사고,3,"[2, 0, 0, 1, 0]",0,2,"[8, 10, 12]",['겨울'],0,1,3,4,4
강서구,송정동,구급,교통사고,161,"[32, 30, 36, 36, 27]",27,5,[12],['가을'],1,1,2,4,4
강서구,식만동,구급,심정지,5,"[1, 3, 0, 0, 1]",0,3,[2],['겨울'],1,2,4,5,5
강서구,식만동,화재,일반화재(주택),5,"[0, 0, 2, 3, 0]",0,2,"[6, 9]",['겨울'],0,1,3,4,4
강서구,식만동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,식만동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,식만동,구급,교통사고,7,"[0, 2, 2, 1, 2]",0,4,[6],['여름'],2,2,3,3,3
강서구,신호동,구급,심정지,41,"[8, 9, 4, 11, 9]",4,5,[2],['여름'],2,0,1,4,4
강서구,신호동,화재,일반화재(주택),5,"[0, 2, 1, 1, 1]",0,4,[2],['겨울'],1,2,4,5,5
강서구,신호동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,신호동,구조,수난사고,7,"[4, 2, 1, 0, 0]",0,3,[9],['가을'],2,3,5,5,5
강서구,신호동,구급,교통사고,122,"[22, 30, 33, 22, 15]",15,5,[10],['가을'],0,2,2,3,3
강서구,죽동동,구급,심정지,4,"[1, 0, 0, 1, 2]",0,3,[12],['겨울'],1,1,4,4,4
강서구,죽동동,화재,일반화재(주택),5,"[0, 0, 2, 2, 1]",0,3,[8],['가을'],1,2,3,4,4
강서구,죽동동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,죽동동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,죽동동,구급,교통사고,6,"[1, 1, 2, 0, 2]",0,4,[11],['봄'],2,1,3,4,4
강서구,죽림동,구급,심정지,2,"[1, 0, 1, 0, 0]",0,2,"[8, 10]",['가을'],0,1,3,4,4
강서구,죽림동,화재,일반화재(주택),0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,죽림동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,죽림동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,죽림동,구급,교통사고,9,"[1, 2, 0, 2, 4]",0,4,[9],['겨울'],1,3,4,5,5
강서구,지사동,구급,심정지,22,"[4, 4, 3, 3, 8]",3,5,[2],['겨울'],1,2,4,4,4
강서구,지사동,화재,일반화재(주택),6,"[1, 2, 2, 0, 1]",0,4,"[4, 9]",['겨울'],0,2,3,3,3
강서구,지사동,구조,산악사고,3,"[0, 0, 3, 0, 0]",0,1,"[1, 10, 12]",['겨울'],1,1,4,4,4
강서구,지사동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,지사동,구급,교통사고,47,"[7, 11, 13, 5, 11]",5,5,[7],['여름'],2,2,3,5,5
강서구,천성동,구급,심정지,2,"[1, 1, 0, 0, 0]",0,2,"[1, 8]",['겨울'],0,1,3,4,4
강서구,천성동,화재,일반화재(주택),5,"[0, 1, 2, 1, 1]",0,4,[10],['가을'],1,1,3,4,4
강서구,천성동,구조,산악사고,8,"[1, 2, 4, 1, 0]",0,4,[11],['가을'],1,1,4,4,4
강서구,천성동,구조,수난사고,2,"[0, 1, 0, 1, 0]",0,2,"[6, 11]",['가을'],0,1,3,4,4
강서구,천성동,구급,교통사고,7,"[4, 1, 1, 1, 0]",0,4,[8],['겨울'],1,2,4,3,3
강서구,화전동,구급,심정지,9,"[2, 4, 1, 1, 1]",1,5,[6],['여름'],1,2,4,3,3
강서구,화전동,화재,일반화재(주택),2,"[1, 1, 0, 0, 0]",0,2,[11],['가을'],1,2,4,5,5
강서구,화전동,구조,산악사고,1,"[0, 0, 0, 1, 0]",0,1,[5],['봄'],1,1,4,4,4
강서구,화전동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
강서구,화전동,구급,교통사고,26,"[9, 4, 8, 3, 2]",2,5,[2],['겨울'],1,1,4,3,3
금정구,구서동,구급,심정지,147,"[23, 33, 30, 30, 31]",23,5,[8],['여름'],2,1,2,5,5
금정구,구서동,화재,일반화재(주택),17,"[5, 5, 2, 2, 3]",2,5,[4],['여름'],2,2,2,3,3
금정구,구서동,구조,산악사고,19,"[4, 5, 1, 4, 5]",1,5,[9],['가을'],0,2,2,4,4
금정구,구서동,구조,수난사고,5,"[2, 1, 1, 1, 0]",0,4,[3],['봄'],1,1,3,3,3
금정구,구서동,구급,교통사고,258,"[48, 61, 52, 36, 61]",36,5,[10],['가을'],1,3,2,5,5
금정구,금사동,구급,심정지,30,"[8, 6, 4, 7, 5]",4,5,[12],['겨울'],1,3,3,2,2
금정구,금사동,화재,일반화재(주택),9,"[2, 5, 1, 1, 0]",0,4,[9],['가을'],1,2,4,5,5
금정구,금사동,구조,산악사고,4,"[0, 1, 1, 2, 0]",0,3,[4],['가을'],2,2,3,4,4
금정구,금사동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,금사동,구급,교통사고,80,"[14, 16, 17, 14, 19]",14,5,[2],['가을'],3,2,4,4,4
금정구,금성동,구급,심정지,9,"[1, 2, 2, 2, 2]",1,5,[11],['가을'],1,3,4,5,5
금정구,금성동,화재,일반화재(주택),9,"[1, 4, 2, 1, 1]",1,5,[1],['겨울'],1,1,4,4,4
금정구,금성동,구조,산악사고,61,"[7, 10, 14, 17, 13]",7,5,[1],['겨울'],1,3,2,4,4
금정구,금성동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,금성동,구급,교통사고,12,"[4, 1, 0, 4, 3]",0,4,[2],['겨울'],2,3,3,5,5
금정구,남산동,구급,심정지,136,"[23, 28, 20, 30, 35]",20,5,[2],['겨울'],1,2,3,4,4
금정구,남산동,화재,일반화재(주택),24,"[5, 4, 5, 5, 5]",4,5,[2],['겨울'],2,2,4,3,3
금정구,남산동,구조,산악사고,11,"[1, 2, 2, 3, 3]",1,5,[7],['가을'],1,2,3,2,2
금정구,남산동,구조,수난사고,1,"[1, 0, 0, 0, 0]",0,1,[2],['겨울'],1,1,4,4,4
금정구,남산동,구급,교통사고,163,"[28, 33, 30, 33, 39]",28,5,[7],['가을'],1,2,4,4,4
금정구,노포동,구급,심정지,12,"[0, 3, 3, 3, 3]",0,4,[9],['가을'],2,2,3,3,3
금정구,노포동,화재,일반화재(주택),4,"[0, 2, 0, 2, 0]",0,2,"[4, 6, 11]",['겨울'],0,1,3,4,4
금정구,노포동,구조,산악사고,2,"[1, 0, 0, 0, 1]",0,2,"[7, 10]",['가을'],0,1,3,4,4
금정구,노포동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,노포동,구급,교통사고,51,"[10, 8, 10, 10, 13]",8,5,[11],['가을'],2,4,4,5,5
금정구,두구동,구급,심정지,14,"[2, 1, 3, 4, 4]",1,5,[1],['겨울'],1,3,4,4,4
금정구,두구동,화재,일반화재(주택),7,"[3, 0, 3, 0, 1]",0,3,[1],['겨울'],1,2,3,5,5
금정구,두구동,구조,산악사고,1,"[0, 0, 0, 1, 0]",0,1,[4],['봄'],1,1,4,4,4
금정구,두구동,구조,수난사고,1,"[0, 0, 1, 0, 0]",0,1,[9],['가을'],1,1,4,4,4
금정구,두구동,구급,교통사고,39,"[6, 8, 6, 16, 3]",3,5,[11],['가을'],1,2,2,3,3
금정구,부곡동,구급,심정지,171,"[20, 46, 34, 33, 38]",20,5,[1],['가을'],0,1,4,4,4
금정구,부곡동,화재,일반화재(주택),29,"[6, 9, 3, 6, 5]",3,5,[6],['봄'],1,1,3,2,2
금정구,부곡동,구조,산악사고,17,"[4, 2, 3, 4, 4]",2,5,[12],['겨울'],0,3,2,4,4
금정구,부곡동,구조,수난사고,2,"[0, 0, 0, 0, 2]",0,1,"[7, 8]",['여름'],1,1,4,4,4
금정구,부곡동,구급,교통사고,329,"[65, 82, 67, 53, 62]",53,5,[10],['여름'],2,2,4,4,4
금정구,서동,구급,심정지,118,"[22, 17, 26, 26, 27]",17,5,[8],['겨울'],1,3,5,5,5
금정구,서동,화재,일반화재(주택),34,"[3, 7, 8, 9, 7]",3,5,[6],['여름'],3,2,4,5,5
금정구,서동,구조,산악사고,8,"[1, 4, 1, 1, 1]",1,5,"[9, 11]",['가을'],0,2,3,4,4
금정구,서동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,서동,구급,교통사고,174,"[34, 32, 37, 25, 46]",25,5,[8],['가을'],1,1,2,3,3
금정구,선동,구급,심정지,3,"[0, 0, 1, 1, 1]",0,3,[11],['가을'],1,1,4,4,4
금정구,선동,화재,일반화재(주택),9,"[1, 1, 3, 1, 3]",1,5,[9],['가을'],1,2,4,4,4
금정구,선동,구조,산악사고,5,"[1, 0, 2, 2, 0]",0,3,[9],['가을'],2,2,3,5,5
금정구,선동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,선동,구급,교통사고,23,"[3, 4, 4, 5, 7]",3,5,[1],['겨울'],2,2,3,3,3
금정구,오륜동,구급,심정지,1,"[0, 0, 1, 0, 0]",0,1,[3],['봄'],1,1,4,4,4
금정구,오륜동,화재,일반화재(주택),2,"[0, 0, 0, 1, 1]",0,2,"[3, 12]",['겨울'],0,1,3,4,4
금정구,오륜동,구조,산악사고,22,"[3, 6, 4, 6, 3]",3,5,"[5, 7, 10]",['여름'],0,1,0,3,4
금정구,오륜동,구조,수난사고,1,"[0, 0, 0, 1, 0]",0,1,[2],['겨울'],1,1,4,4,4
금정구,오륜동,구급,교통사고,19,"[4, 6, 5, 2, 2]",2,5,"[4, 11]",['여름'],0,0,2,2,2
금정구,장전동,구급,심정지,126,"[28, 17, 22, 23, 36]",17,5,[11],['가을'],2,2,3,3,3
금정구,장전동,화재,일반화재(주택),30,"[12, 4, 4, 6, 4]",4,5,[1],['겨울'],1,2,4,3,3
금정구,장전동,구조,산악사고,20,"[3, 4, 7, 3, 3]",3,5,[7],['여름'],0,1,2,4,4
금정구,장전동,구조,수난사고,1,"[0, 0, 0, 0, 1]",0,1,[9],['가을'],1,1,4,4,4
금정구,장전동,구급,교통사고,284,"[57, 59, 63, 48, 57]",48,5,[6],['여름'],2,3,5,5,5
금정구,청룡동,구급,심정지,50,"[9, 10, 10, 11, 10]",9,5,[6],['겨울'],2,3,2,5,5
금정구,청룡동,화재,일반화재(주택),9,"[2, 3, 1, 2, 1]",1,5,[1],['겨울'],1,3,3,4,4
금정구,청룡동,구조,산악사고,50,"[11, 9, 6, 13, 11]",6,5,[5],['가을'],0,4,3,5,5
금정구,청룡동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
금정구,청룡동,구급,교통사고,33,"[7, 5, 8, 6, 7]",5,5,[11],['가을'],2,2,4,3,3
금정구,회동동,구급,심정지,20,"[3, 2, 5, 3, 7]",2,5,[3],['겨울'],0,2,2,4,4
금정구,회동동,화재,일반화재(주택),3,"[1, 0, 0, 2, 0]",0,2,[9],['겨울'],1,1,4,4,4
금정구,회동동,구조,산악사고,11,"[3, 3, 1, 2, 2]",1,5,[2],['가을'],2,3,3,5,5
금정구,회동동,구조,수난사고,1,"[0, 0, 0, 0, 1]",0,1,[3],['봄'],1,1,4,4,4
금정구,회동동,구급,교통사고,47,"[9, 10, 9, 10, 9]",9,5,[8],['여름'],1,1,3,3,3
기장군,기장읍,구급,심정지,360,"[52, 64, 85, 78, 81]",52,5,"[7, 12]",['겨울'],0,1,1,4,4
기장군,기장읍,화재,일반화재(주택),76,"[16, 13, 12, 16, 19]",12,5,[10],['여름'],1,1,1,3,3
기장군,기장읍,구조,산악사고,26,"[5, 4, 4, 2, 11]",2,5,[10],['가을'],1,2,4,5,5
기장군,기장읍,구조,수난사고,36,"[8, 7, 7, 11, 3]",3,5,"[7, 8, 10]",['여름'],0,1,0,4,4
기장군,기장읍,구급,교통사고,651,"[129, 124, 132, 157, 109]",109,5,[5],['여름'],2,2,4,3,3
기장군,일광면,구급,심정지,46,"[10, 26, 10, 0, 0]",0,3,[7],['봄'],1,0,3,3,3
기장군,일광면,화재,일반화재(주택),16,"[4, 9, 3, 0, 0]",0,3,[5],['겨울'],0,1,3,4,4
기장군,일광면,구조,산악사고,18,"[3, 13, 2, 0, 0]",0,3,[7],['여름'],1,1,4,4,4
기장군,일광면,구조,수난사고,15,"[7, 5, 3, 0, 0]",0,3,[5],['겨울'],1,1,3,3,3
기장군,일광면,구급,교통사고,122,"[39, 65, 18, 0, 0]",0,3,[5],['봄'],1,2,4,5,5
기장군,일광읍,구급,심정지,23,"[0, 0, 1, 10, 12]",0,3,[6],['여름'],1,1,4,4,4
기장군,일광읍,화재,일반화재(주택),3,"[0, 0, 2, 1, 0]",0,2,"[1, 7, 12]",['겨울'],0,2,3,5,5
기장군,일광읍,구조,산악사고,8,"[0, 0, 2, 4, 2]",0,3,[2],['겨울'],2,2,4,5,5
기장군,일광읍,구조,수난사고,9,"[0, 0, 3, 3, 3]",0,3,[8],['여름'],1,2,3,5,5
기장군,일광읍,구급,교통사고,53,"[0, 0, 14, 22, 17]",0,3,[11],['가을'],0,1,4,4,4
기장군,장안읍,구급,심정지,84,"[18, 11, 24, 15, 16]",11,5,[2],['겨울'],3,3,4,5,5
기장군,장안읍,화재,일반화재(주택),38,"[9, 3, 7, 15, 4]",3,5,[9],['겨울'],1,3,3,3,3
기장군,장안읍,구조,산악사고,13,"[3, 3, 2, 4, 1]",1,5,[9],['가을'],1,3,4,5,5
기장군,장안읍,구조,수난사고,15,"[3, 2, 3, 6, 1]",1,5,[6],['여름'],2,2,4,4,4
기장군,장안읍,구급,교통사고,178,"[45, 44, 35, 24, 30]",24,5,[10],['가을'],1,3,3,2,2
기장군,정관면,구급,심정지,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
기장군,정관면,화재,일반화재(주택),0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
기장군,정관면,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
기장군,정관면,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
기장군,정관면,구급,교통사고,3,"[2, 1, 0, 0, 0]",0,2,[6],['여름'],1,2,4,5,5
기장군,정관읍,구급,심정지,82,"[10, 12, 13, 21, 26]",10,5,[8],['여름'],1,1,3,3,4
기장군,정관읍,화재,일반화재(주택),14,"[5, 3, 1, 1, 4]",1,5,[8],['여름'],1,2,3,5,5
기장군,정관읍,구조,산악사고,7,"[1, 1, 3, 1, 1]",1,5,"[7, 8]",['여름'],0,5,1,5,5
기장군,정관읍,구조,수난사고,1,"[1, 0, 0, 0, 0]",0,1,[7],['여름'],1,1,4,4,4
기장군,정관읍,구급,교통사고,230,"[44, 52, 43, 47, 44]",43,5,[6],['여름'],0,1,3,4,4
기장군,철마면,구급,심정지,63,"[11, 10, 14, 12, 16]",10,5,[9],['봄'],2,1,4,4,4
기장군,철마면,화재,일반화재(주택),28,"[11, 3, 7, 4, 3]",3,5,[4],['겨울'],1,2,4,3,3
기장군,철마면,구조,산악사고,21,"[5, 10, 2, 2, 2]",2,5,[10],['가을'],1,3,3,3,3
기장군,철마면,구조,수난사고,1,"[0, 0, 0, 0, 1]",0,1,[3],['봄'],1,1,4,4,4
기장군,철마면,구급,교통사고,115,"[32, 29, 23, 18, 13]",13,5,[10],['봄'],0,1,2,4,4
남구,감만동,구급,심정지,84,"[11, 21, 16, 18, 18]",11,5,[1],['겨울'],2,2,4,5,5
남구,감만동,화재,일반화재(주택),9,"[3, 1, 3, 1, 1]",1,5,[4],['봄'],1,2,4,3,3
남구,감만동,구조,산악사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
남구,감만동,구조,수난사고,0,"[0, 0, 0, 0, 0]",0,0,[],[],0,0,0,0,0
남구,감만동,구급,교통사고,96,"[28, 22, 13, 21, 12]",12,5,[11],['가을'],1,1,3,5,5
남구,대연동,구급,심정지,256,"[35, 44, 56, 59, 62]",35,5,[12],['겨울'],2,2,5,4,4
남구,대연동,화재,일반화재(주택),48,"[8, 14, 6, 12, 8]",6,5,"[7, 10]",['여름'],0,1,0,4,4
남구,대연동,구조,산악사고,26,"[7, 5, 9, 2, 3]",2,5,"[8, 10]",['가을'],0,3,0,1,1
남구,대연동,구조,수난사고,4,"[0, 1, 1, 1, 1]",0,4,[5],['봄'],3,3,5,5,5
남구,대연동,구급,교통사고,736,"[189, 144, 156, 131, 116]",116,5,[3],['봄'],1,3,4,3,3
남구,문현동,구급,심정지,174,"[29, 32, 37, 36, 40]",29,5,[12],['겨울'],0,4,5,5,5
남구,문현동,화재,일반화재(주택),31,"[7, 6, 6, 7, 5]",5,5,[2],['겨울'],3,4,4,5,5
남구,문현동,구조,산악사고,1,"[1, 0, 0, 0, 0]",0,1,[5],['봄'],1,1,4,4,4
남구,문현동,구조,수난사고,1,"[0, 0, 0, 1, 0]",0,1,[3],['봄'],1,1,4,4,4
남구,문현동,구급,교통사고,281,"[53, 57, 73, 58, 40]",40,5,[10],['가을'],1,3,3,5,5
남구,용당동,구급,심정지,32,"[3, 7, 10, 6, 6]",3,5,[10],['가을'],1,3,2,5,5
남구,용당동,화재,일반화재(주택),9,"[0, 1, 4, 2, 2]",0,4,"[5, 8, 12]","['봄', '여름']",0,0,2,1,5
남구,용당동,구조,산악사고,2,"[1, 1, 0, 0, 0]",0,2,[11],['겨울'],1,1,4,4,4
남구,용당동,구조,수난사고,1,"[0, 0, 0, 0, 1]",0,1,[3],['봄'],1,1,4,4,4
남구,용당동,구급,교통사고,102,"[19, 26, 16, 19, 22]",16,5,[10],['가을'],1,2,3,4,4
남구,용호동,구급,심정지,276,"[42, 63, 56, 54, 61]",42,5,[8],['겨울'],1,4,3,5,5
남구,용호동,화재,일반화재(주택),24,"[4, 5, 5, 4, 6]",4,5,[4],['봄'],1,2,4,4,4
남구,용호동,구조,산악사고,43,"[5, 10, 11, 8, 9]",5,5,[10],['가을'],1,1,3,4,4
남구,용호동,구조,수난사고,23,"[6, 5, 5, 5, 2]",2,5,[8],['여름'],3,2,5,5,5
남구,용호동,구급,교통사고,318,"[74, 63, 63, 52, 66]",52,5,[10],['가을'],3,3,5,4,4
남구,우암동,구급,심정지,63,"[12, 13, 15, 13, 10]",10,5,[11],['겨울'],1,4,4,5,5
남구,우암동,화재,일반화재(주택),16,"[3, 2, 2, 6, 3]",2,5,[2],['겨울'],3,2,5,4,4
